iter	Accuracy	CrossEntropy
737	0.878918608	0.2901599988
738	0.8787748059	0.2900508289
739	0.8793500144	0.289917576
740	0.878918608	0.2898157515
741	0.8790624101	0.2896935914
742	0.8794938165	0.2895848722
743	0.8797814208	0.2894794159
744	0.8797814208	0.2893062428
745	0.8797814208	0.2892190249
746	0.8803566293	0.2890981266
747	0.8803566293	0.2889417126
748	0.8809318378	0.2888182662
749	0.8809318378	0.2887066275
750	0.8807880357	0.2886461288
751	0.8803566293	0.2885429432
752	0.8806442335	0.2884779752
753	0.881219442	0.2883250169
754	0.8813632442	0.2881749039
755	0.8816508484	0.2880543694
756	0.8820822548	0.2879813399
757	0.8816508484	0.2878511769
758	0.8817946506	0.2877421292
759	0.8817946506	0.2876518059
760	0.8816508484	0.2875072404
761	0.8819384527	0.2873898749
762	0.8820822548	0.2871863288
763	0.8820822548	0.2870968111
764	0.8822260569	0.2870236402
765	0.8828012655	0.2868949453
766	0.8826574633	0.2868259527
767	0.8830888697	0.2867047084
768	0.8826574633	0.2866293738
769	0.8829450676	0.2865093501
770	0.8832326718	0.2864132234
771	0.8835202761	0.2862328443
772	0.8835202761	0.286148834
773	0.8829450676	0.2860539283
774	0.8828012655	0.2859575299
775	0.8828012655	0.2858926696
776	0.8832326718	0.2857542152
777	0.883376474	0.2856637124
778	0.8835202761	0.2855780337
779	0.8835202761	0.2854691197
780	0.8836640782	0.2853081167
781	0.8842392867	0.285217983
782	0.8843830889	0.2851005537
783	0.8843830889	0.2850255898
784	0.8843830889	0.2849017849
785	0.8846706931	0.2848238185
786	0.8843830889	0.2847935853
787	0.8843830889	0.2846914322
788	0.8843830889	0.2845710818
789	0.884526891	0.2844721909
790	0.8843830889	0.2843177237
791	0.8843830889	0.284224724
792	0.884526891	0.2841457695
793	0.8851020995	0.2840135896
794	0.8849582974	0.2838984929
795	0.8849582974	0.2838038379
796	0.8849582974	0.2837396201
797	0.8852459016	0.2836365848
798	0.8851020995	0.2835178465
799	0.8852459016	0.2834060683
800	0.8852459016	0.283305613
801	0.8853897038	0.2831812782
802	0.8852459016	0.283118242
803	0.8853897038	0.2829721343
804	0.8855335059	0.2828492927
805	0.8853897038	0.282771356
806	0.8853897038	0.2825731851
807	0.8858211102	0.2824085978
808	0.8858211102	0.2823385353
809	0.8858211102	0.2822204957
810	0.8852459016	0.2821459474
811	0.8853897038	0.2820861237
812	0.8858211102	0.2819710358
813	0.8859649123	0.2817702824
814	0.8862525165	0.2816583844
815	0.8861087144	0.2815309359
816	0.8861087144	0.2813826312
817	0.8858211102	0.2812642175
818	0.8859649123	0.2810783052
819	0.8861087144	0.2809734737
820	0.8862525165	0.2808311535
821	0.8863963187	0.2807376791
822	0.8863963187	0.2805890315
823	0.8865401208	0.2804532239
824	0.8868277251	0.2803633556
825	0.8868277251	0.2802835584
826	0.8866839229	0.2802058404
827	0.8869715272	0.2801261491
828	0.8871153293	0.2799902539
829	0.8872591314	0.2798853623
830	0.8874029336	0.279775964
831	0.8875467357	0.2797051038
832	0.8876905378	0.2796470272
833	0.8876905378	0.2795734905
834	0.8878343399	0.2795266661
835	0.8878343399	0.2794583598
836	0.8878343399	0.2793624181
837	0.8875467357	0.2792590899
838	0.8879781421	0.2791601118
839	0.8882657463	0.2789799093
840	0.8886971527	0.2788356896
841	0.8884095485	0.2787826401
842	0.8885533506	0.2786615431
843	0.8886971527	0.2785563989
844	0.8884095485	0.2784897975
845	0.8885533506	0.2783247241
846	0.8888409548	0.2782608436
847	0.8891285591	0.2781427588
848	0.8886971527	0.2780283552
849	0.8886971527	0.2778929975
850	0.8888409548	0.2777710576
851	0.8892723612	0.2776619035
852	0.8894161634	0.2775441335
853	0.8891285591	0.2774799857
854	0.8894161634	0.2773832603
855	0.8895599655	0.2772953669
856	0.8897037676	0.2771835458
857	0.890135174	0.2770545484
858	0.890135174	0.2769883486
859	0.8898475697	0.2768618085
860	0.8899913719	0.2768052156
861	0.8899913719	0.276637142
862	0.890135174	0.2765564131
863	0.8902789761	0.2764745293
864	0.890135174	0.2763576048
865	0.890135174	0.2762742981
866	0.8905665804	0.2761827274
867	0.8905665804	0.2760506118
868	0.8907103825	0.2758893683
869	0.8905665804	0.2757564304
870	0.8905665804	0.2756724698
871	0.8905665804	0.2756282321
872	0.8909979868	0.2755294812
873	0.8907103825	0.2754386377
874	0.8905665804	0.2752880952
875	0.8908541846	0.2751770934
876	0.8911417889	0.2750762511
877	0.891285591	0.2749867736
878	0.891285591	0.2748789627
879	0.891285591	0.2747796871
880	0.8911417889	0.2747095024
881	0.891285591	0.2745907245
882	0.8914293932	0.2745105945
